Ativo;Data;Abertura;Maximo;Minimo;Fechamento;Volume;Quantidade
DI1F25;29/05/2020;6,050;6,050;5,950;5,960;5.411.457.770,10;70.625
DI1F25;28/05/2020;5,990;6,070;5,940;6,020;6.069.628.886,65;79.305
DI1F25;27/05/2020;6,030;6,140;5,980;5,980;5.532.907.161,10;72.480
DI1F25;26/05/2020;6,020;6,080;5,950;6,010;8.595.106.014,00;112.370
DI1F25;25/05/2020;6,110;6,200;6,100;6,100;4.759.414.872,10;62.620
DI1F25;22/05/2020;6,390;6,590;6,350;6,440;7.800.483.074,70;103.895
DI1F25;21/05/2020;6,540;6,610;6,400;6,400;8.297.475.669,20;110.690
DI1F25;20/05/2020;6,500;6,620;6,490;6,540;5.464.357.888,15;73.270
DI1F25;19/05/2020;6,550;6,600;6,490;6,510;6.174.373.893,20;82.730
DI1F25;18/05/2020;6,650;6,670;6,540;6,590;5.247.696.268,10;70.460
DI1F25;15/05/2020;6,820;6,850;6,660;6,710;5.476.193.079,30;74.020
DI1F25;14/05/2020;6,940;7,130;6,800;6,800;9.874.694.956,60;134.995
DI1F25;13/05/2020;6,610;6,890;6,490;6,860;6.730.450.123,85;91.105
DI1F25;12/05/2020;6,380;6,860;6,290;6,690;10.349.511.224,15;138.560
DI1F25;11/05/2020;6,450;6,580;6,380;6,430;3.327.824.598,60;44.455
DI1F25;08/05/2020;6,500;6,580;6,380;6,390;4.758.661.483,90;63.595
DI1F25;07/05/2020;6,350;6,620;6,260;6,530;7.396.487.781,75;99.070
DI1F25;06/05/2020;6,570;6,700;6,400;6,400;5.829.241.276,25;78.275
DI1F25;05/05/2020;6,550;6,630;6,380;6,490;5.639.488.391,05;75.605
DI1F25;04/05/2020;6,570;6,760;6,570;6,610;3.348.691.609,90;45.280
DI1F25;30/04/2020;6,490;6,680;6,430;6,480;4.933.399.100,35;66.350
DI1F25;29/04/2020;6,540;6,940;6,440;6,440;7.547.475.701,40;101.560
DI1F25;28/04/2020;7,200;7,240;6,570;6,620;11.354.744.267,70;154.955
DI1F25;27/04/2020;6,940;7,550;6,920;7,500;9.410.601.246,20;130.505
DI1F25;24/04/2020;6,510;7,640;6,410;7,610;19.823.302.987,60;272.135
DI1F25;23/04/2020;5,970;6,260;5,970;6,260;11.109.798.207,40;146.535
DI1F25;22/04/2020;5,880;5,900;5,780;5,860;6.055.710.099,30;79.035
DI1F25;20/04/2020;6,150;6,210;5,840;5,960;7.465.318.586,35;98.215
DI1F25;17/04/2020;6,070;6,250;6,030;6,090;6.359.874.996,10;84.160
DI1F25;16/04/2020;6,300;6,300;6,090;6,120;8.241.704.969,85;109.210
DI1F25;15/04/2020;6,430;6,470;6,270;6,280;8.052.441.663,80;107.600
DI1F25;14/04/2020;6,530;6,530;6,380;6,380;7.405.598.782,65;99.305
DI1F25;13/04/2020;6,630;6,680;6,530;6,540;4.305.877.953,95;58.180
DI1F25;09/04/2020;6,780;6,800;6,580;6,630;6.530.280.653,00;88.470
DI1F25;08/04/2020;6,940;7,130;6,800;6,810;7.331.942.579,50;100.600
DI1F25;07/04/2020;6,880;7,000;6,820;6,960;6.345.337.915,75;87.045
DI1F25;06/04/2020;7,020;7,190;6,850;7,070;6.826.106.583,95;93.770
DI1F25;03/04/2020;6,930;7,240;6,830;7,200;7.541.964.484,50;104.335
DI1F25;02/04/2020;6,840;7,000;6,740;6,950;3.288.216.857,45;45.120
DI1F25;01/04/2020;6,950;7,120;6,800;6,970;7.236.459.679,40;99.615
DI1F25;31/03/2020;6,800;6,870;6,630;6,750;4.362.700.116,60;59.355
DI1F25;30/03/2020;7,050;7,090;6,750;6,750;6.301.957.777,35;86.255
DI1F25;27/03/2020;7,030;7,270;6,840;6,970;7.869.757.847,70;108.871
DI1F25;26/03/2020;7,550;7,660;6,840;7,040;6.894.040.062,95;95.470
DI1F25;25/03/2020;8,400;8,470;7,390;7,460;8.156.988.814,90;116.640
DI1F25;24/03/2020;8,340;8,490;8,260;8,330;6.090.025.165,75;89.270
DI1F25;23/03/2020;8,840;8,850;8,130;8,710;4.229.790.475,80;62.640
DI1F25;20/03/2020;7,690;8,250;7,480;8,250;7.423.639.060,04;106.659
DI1F25;19/03/2020;8,010;9,240;7,860;7,980;9.280.271.607,25;136.320
DI1F25;18/03/2020;7,320;7,820;7,090;7,820;9.895.839.271,45;139.460
DI1F25;17/03/2020;7,000;7,120;6,460;6,590;13.773.060.716,60;188.205
DI1F25;16/03/2020;7,170;7,800;7,080;7,080;12.532.699.033,00;176.420
DI1F25;13/03/2020;7,270;7,460;6,800;7,220;14.839.968.300,25;207.435
DI1F25;12/03/2020;8,120;8,510;7,850;8,220;6.468.915.938,45;94.165
DI1F25;11/03/2020;6,240;6,950;6,170;6,890;25.151.004.544,60;339.925
DI1F25;10/03/2020;6,160;6,360;6,120;6,190;12.265.231.926,20;164.080
DI1F25;09/03/2020;6,750;6,750;6,130;6,350;21.392.591.456,70;286.980
DI1F25;06/03/2020;6,080;6,280;5,980;6,040;18.428.475.294,70;245.590
DI1F25;05/03/2020;5,820;6,030;5,790;6,020;23.247.065.118,85;306.890
DI1F25;04/03/2020;5,770;5,790;5,690;5,790;17.722.709.266,20;231.925
DI1F25;03/03/2020;5,920;5,960;5,760;5,840;17.762.218.410,80;233.590
DI1F25;02/03/2020;6,020;6,020;5,870;5,900;14.356.296.577,40;189.650
DI1F25;28/02/2020;6,210;6,260;6,110;6,140;19.597.535.269,70;261.815
DI1F25;27/02/2020;6,200;6,310;6,080;6,120;20.300.201.555,95;271.585
DI1F25;26/02/2020;6,090;6,200;6,090;6,190;9.671.706.800,95;129.135
DI1F25;21/02/2020;6,020;6,070;5,990;6,060;5.957.811.415,20;79.100
DI1F25;20/02/2020;5,980;6,080;5,950;6,000;9.283.696.418,90;123.236
DI1F25;19/02/2020;6,020;6,060;5,960;5,970;9.628.433.704,90;127.770
DI1F25;18/02/2020;5,970;6,010;5,950;6,000;6.330.236.163,70;83.935
DI1F25;17/02/2020;5,940;6,000;5,910;5,970;3.940.574.621,75;52.190
DI1F25;14/02/2020;6,070;6,080;5,950;5,960;11.407.195.466,70;151.445
DI1F25;13/02/2020;6,070;6,110;6,050;6,080;9.056.184.092,45;120.700
DI1F25;12/02/2020;6,040;6,060;6,020;6,030;9.227.056.674,40;122.755
DI1F25;11/02/2020;6,120;6,130;6,040;6,070;10.131.247.507,05;134.990
DI1F25;10/02/2020;6,190;6,200;6,120;6,150;7.485.553.800,80;100.155
DI1F25;07/02/2020;6,120;6,210;6,090;6,200;12.487.273.666,95;167.110
DI1F25;06/02/2020;6,080;6,170;6,060;6,140;14.635.179.012,00;195.550
DI1F25;05/02/2020;6,110;6,120;6,050;6,050;12.417.640.792,60;165.710
DI1F25;04/02/2020;6,120;6,130;6,060;6,110;8.557.774.486,60;114.325
DI1F25;03/02/2020;6,210;6,210;6,120;6,150;4.223.401.681,05;56.565
DI1F25;31/01/2020;6,220;6,230;6,170;6,210;6.223.799.888,50;83.560
DI1F25;30/01/2020;6,200;6,260;6,170;6,200;10.256.883.296,30;137.860
DI1F25;29/01/2020;6,180;6,200;6,130;6,180;9.573.479.590,00;128.395
DI1F25;28/01/2020;6,270;6,290;6,210;6,210;6.927.132.270,10;93.320
DI1F25;27/01/2020;6,320;6,340;6,260;6,270;5.847.069.735,75;78.955
DI1F25;24/01/2020;6,320;6,350;6,270;6,300;6.133.920.399,75;82.855
DI1F25;23/01/2020;6,320;6,380;6,300;6,320;9.409.721.457,40;127.390
DI1F25;22/01/2020;6,330;6,350;6,300;6,300;5.140.071.820,30;69.530
DI1F25;21/01/2020;6,410;6,430;6,320;6,340;8.803.046.792,15;119.385
DI1F25;20/01/2020;6,360;6,400;6,340;6,390;2.733.829.750,30;37.095
DI1F25;17/01/2020;6,390;6,430;6,360;6,380;6.146.418.363,00;83.510
DI1F25;16/01/2020;6,320;6,440;6,310;6,430;9.969.068.450,80;135.285
DI1F25;15/01/2020;6,350;6,350;6,280;6,320;7.767.868.014,00;105.170
DI1F25;14/01/2020;6,440;6,480;6,350;6,380;6.758.707.233,50;91.880
DI1F25;13/01/2020;6,360;6,460;6,360;6,440;4.843.564.039,40;65.935
